event_slug,event_title,market_id,question,decision_date,rate_move_bps,rate_move_label,observed_ts,observed_day,close_price
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720310402.0,2024-07-07,0.0675
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720396802.0,2024-07-08,0.065
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720483202.0,2024-07-09,0.0625
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720569603.0,2024-07-10,0.063
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720656003.0,2024-07-11,0.066
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720742402.0,2024-07-12,0.0735
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720828803.0,2024-07-13,0.0755
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720915202.0,2024-07-14,0.0745
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721001603.0,2024-07-15,0.0755
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721088002.0,2024-07-16,0.0885
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721174401.0,2024-07-17,0.0745
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721260802.0,2024-07-18,0.0425
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721347201.0,2024-07-19,0.054
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721433601.0,2024-07-20,0.051
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721520001.0,2024-07-21,0.051
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721606401.0,2024-07-22,0.0545
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721692801.0,2024-07-23,0.046
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721779201.0,2024-07-24,0.0465
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721865601.0,2024-07-25,0.0565
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1721952002.0,2024-07-26,0.0765
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1722038402.0,2024-07-27,0.0495
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1722124802.0,2024-07-28,0.0475
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1722211202.0,2024-07-29,0.0515
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1722297601.0,2024-07-30,0.0505
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1722384002.0,2024-07-31,0.0425
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718236803.0,2024-06-13,0.9245
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718323203.0,2024-06-14,0.918
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718409604.0,2024-06-15,0.9175
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718496004.0,2024-06-16,0.917
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718582404.0,2024-06-17,0.918
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718668803.0,2024-06-18,0.922
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718755203.0,2024-06-19,0.9195
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718841604.0,2024-06-20,0.916
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1718928003.0,2024-06-21,0.916
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719014402.0,2024-06-22,0.921
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719100803.0,2024-06-23,0.9165
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719187203.0,2024-06-24,0.9165
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719273603.0,2024-06-25,0.921
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719360003.0,2024-06-26,0.9135
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719446402.0,2024-06-27,0.9155
